Experiment Number,Database Schema Type,LLM Name,Attempt Number,Generated SQL Query,Query Validity (Yes/No),Ground Truth Exact Match? (Yes/No),Exact Match (1/0),Execution Time (ms),Result Rows Count,Resulted Rows,TP (rows in GQ and GT),FP (rows in GQ but not in GT),FN (rows in GT but not in GQ),Precision,Recall,F1-Score,Notes,Average Runtime
49,Star Schema,Claude 3 Concise,4,"SELECT 
   ds.store_location, 
   dp.product_type, 
   SUM(fs.revenue) AS total_revenue
FROM 
   dbo.Fact_Sales fs
JOIN dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
   dp.product_category = 'Coffee'
   AND dd.month = 'January'
   AND dd.year = 2023
   AND dt.period_of_day = 'Morning'
GROUP BY 
   ds.store_location, 
   dp.product_type
ORDER BY 
   total_revenue DESC;",Yes,Yes,1,98,15,,15,0,0,1,1,1,,
50,Star Schema,Claude 3 Concise,5,"SELECT 
   ds.store_location, 
   dp.product_type, 
   ROUND(SUM(fs.revenue), 2) AS total_revenue
FROM 
   dbo.Fact_Sales fs
JOIN 
   dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN 
   dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN 
   dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN 
   dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE 
   dp.product_category = 'Coffee'
   AND dd.month = 'January'
   AND dd.year = 2023
   AND dt.period_of_day = 'Morning'
GROUP BY 
   ds.store_location, 
   dp.product_type
ORDER BY 
   ds.store_location, 
   total_revenue DESC;",Yes,Yes,1,207,15,,15,0,0,1,1,1,,164.6
51,Star Schema,Mistral Large 2,1,"SELECT
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM
    dbo.Fact_Sales fs
JOIN
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY
    ds.store_location,
    dp.product_type;",Yes,Yes,1,151,15,,15,0,0,1,1,1,,
52,Star Schema,Mistral Large 2,2,"SELECT
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM
    dbo.Fact_Sales fs
JOIN
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY
    ds.store_location,
    dp.product_type;",Yes,Yes,1,139,15,,15,0,0,1,1,1,,
53,Star Schema,Mistral Large 2,3,"SELECT
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM
    dbo.Fact_Sales fs
JOIN
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY
    ds.store_location,
    dp.product_type;",Yes,Yes,1,121,15,,15,0,0,1,1,1,,
54,Star Schema,Mistral Large 2,4,"SELECT
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM
    dbo.Fact_Sales fs
JOIN
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY
    ds.store_location,
    dp.product_type;",Yes,Yes,1,122,15,,15,0,0,1,1,1,,
55,Star Schema,Mistral Large 2,5,"SELECT
    ds.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM
    dbo.Fact_Sales fs
JOIN
    dbo.Dim_Store ds ON fs.store_id = ds.store_id
JOIN
    dbo.Dim_Product dp ON fs.product_id = dp.product_id
JOIN
    dbo.Dim_Date dd ON fs.date_id = dd.date_id
JOIN
    dbo.Dim_Time dt ON fs.time_id = dt.time_id
WHERE
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY
    ds.store_location,
    dp.product_type;",Yes,Yes,1,137,15,,15,0,0,1,1,1,,134
56,Star Schema,Cohere Command R+,1,"SELECT 
    FS.store_location,
    DP.product_type,
    SUM(FS.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales AS FS
JOIN 
    dbo.Dim_Store AS DS ON FS.store_id = DS.store_id
JOIN 
    dbo.Dim_Product AS DP ON FS.product_id = DP.product_id
JOIN 
    dbo.Dim_Date AS DD ON FS.date_id = DD.date_id
JOIN 
    dbo.Dim_Time AS DT ON FS.time_id = DT.time_id
WHERE 
    DP.product_category = 'Coffee'
    AND DD.month = 'January'
    AND DD.year = 2023
    AND DT.period_of_day = 'Morning'
GROUP BY 
    FS.store_location,
    DP.product_type;",No,No,0,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
57,Star Schema,Cohere Command R+,2,"SELECT 
    FS.store_location,
    DP.product_type,
    SUM(FS.revenue) AS total_revenue
FROM dbo.Fact_Sales AS FS
JOIN dbo.Dim_Store AS DS ON FS.store_id = DS.store_id
JOIN dbo.Dim_Product AS DP ON FS.product_id = DP.product_id
JOIN dbo.Dim_Date AS DD ON FS.date_id = DD.date_id
JOIN dbo.Dim_Time AS DT ON FS.time_id = DT.time_id
WHERE 
    DP.product_category = 'Coffee'
    AND DD.month = 'January'
    AND DD.year = 2023
    AND DT.period_of_day = 'Morning'
GROUP BY 
    FS.store_location,
    DP.product_type;",No,No,0,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
58,Star Schema,Cohere Command R+,3,"SELECT
    fs.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM dbo.Fact_Sales AS fs
JOIN dbo.Dim_Store AS ds ON fs.store_id = ds.store_id
JOIN dbo.Dim_Product AS dp ON fs.product_id = dp.product_id
JOIN dbo.Dim_Date AS dd ON fs.date_id = dd.date_id
JOIN dbo.Dim_Time AS dt ON fs.time_id = dt.time_id
WHERE
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY
    fs.store_location,
    dp.product_type;",No,No,0,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
59,Star Schema,Cohere Command R+,4,"SELECT
    fs.store_location,
    dp.product_type,
    SUM(fs.revenue) AS total_revenue
FROM dbo.Fact_Sales AS fs
JOIN dbo.Dim_Store AS ds ON fs.store_id = ds.store_id
JOIN dbo.Dim_Product AS dp ON fs.product_id = dp.product_id
JOIN dbo.Dim_Date AS dd ON fs.date_id = dd.date_id
JOIN dbo.Dim_Time AS dt ON fs.time_id = dt.time_id
WHERE
    dp.product_category = 'Coffee'
    AND dd.month = 'January'
    AND dd.year = 2023
    AND dt.period_of_day = 'Morning'
GROUP BY
    fs.store_location,
    dp.product_type;",No,No,0,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,
60,Star Schema,Cohere Command R+,5,"SELECT 
    DS.store_location,
    DP.product_type,
    SUM(FS.revenue) AS total_revenue
FROM 
    dbo.Fact_Sales AS FS
INNER JOIN 
    dbo.Dim_Store AS DS ON FS.store_id = DS.store_id
INNER JOIN 
    dbo.Dim_Product AS DP ON FS.product_id = DP.product_id
INNER JOIN 
    dbo.Dim_Date AS DD ON FS.date_id = DD.date_id
INNER JOIN 
    dbo.Dim_Time AS DT ON FS.time_id = DT.time_id
WHERE 
    DP.product_category = 'Coffee'
    AND DD.month = 'January'
    AND DD.year = 2023
    AND DT.period_of_day = 'Morning'
GROUP BY 
    DS.store_location,
    DP.product_type;",Yes,Yes,1,141,15,,15,0,0,1,1,1,,141
,,,,,,,56,,,,,,,,,,,
